"parameter","post_mean","post_sd","ci_lower","ci_upper","r_hat","r_hat_upper","ess"
"glioma_tumor : (Intercept)",0.4353,0.133,0.1732,0.6957,1.0047,1.0141,1514
"glioma_tumor : skewness",5.1837,0.3735,4.4765,5.9373,1.001,1.0015,1633
"glioma_tumor : kurtosis",-5.6424,0.3344,-6.3052,-5.0097,1.0014,1.0037,1539
"glioma_tumor : energy",-0.4183,0.1225,-0.6636,-0.1816,1.0038,1.0103,1659
"glioma_tumor : entropy",-0.1156,0.1823,-0.4724,0.2469,1.0015,1.0047,1563
"glioma_tumor : contrast",-3.815,0.2781,-4.3554,-3.2768,1.0017,1.0046,1569
"glioma_tumor : correlation",-2.3121,0.1451,-2.6035,-2.0329,1.0004,1.0013,1571
"glioma_tumor : glcm_energy",0.6553,0.2393,0.1892,1.1289,1.0014,1.0043,1665
"glioma_tumor : homogeneity",0.272,0.2309,-0.1866,0.7198,1.0002,1.0004,1599
"glioma_tumor : aspect_ratio",-0.1046,0.0861,-0.2727,0.0665,1.0026,1.0081,1585
"glioma_tumor : perimeter",-0.5948,0.1263,-0.8389,-0.3495,1.0015,1.0043,1675
"meningioma_tumor : (Intercept)",1.2472,0.0997,1.0572,1.4477,1.0018,1.006,1448
"meningioma_tumor : skewness",0.6529,0.1546,0.3499,0.9559,1.001,1.0033,1555
"meningioma_tumor : kurtosis",-1.6545,0.2016,-2.051,-1.2614,1.0007,1.0019,1532
"meningioma_tumor : energy",-1.0117,0.105,-1.2185,-0.8083,1.0019,1.004,1665
"meningioma_tumor : entropy",0.648,0.1207,0.4121,0.8863,1.0017,1.005,1513
"meningioma_tumor : contrast",-0.614,0.1209,-0.8583,-0.3842,1.0045,1.0139,1572
"meningioma_tumor : correlation",-0.2148,0.1107,-0.4316,-0.0017,1.0009,1.0023,1552
"meningioma_tumor : glcm_energy",-0.0294,0.1493,-0.322,0.2601,1.0019,1.006,1554
"meningioma_tumor : homogeneity",1.9791,0.1781,1.6301,2.3288,1.0005,1.001,1616
"meningioma_tumor : aspect_ratio",-0.1517,0.0754,-0.2986,-0.0023,1.0013,1.0035,1568
"meningioma_tumor : perimeter",0.232,0.104,0.0254,0.4369,1.0001,1.0003,1689
"pituitary_tumor : (Intercept)",0.5543,0.1142,0.3312,0.7777,1.0013,1.0039,1476
"pituitary_tumor : skewness",2.8111,0.2874,2.2598,3.3823,1.0018,1.0057,1544
"pituitary_tumor : kurtosis",-4.6776,0.2878,-5.2412,-4.1185,1.002,1.0063,1561
"pituitary_tumor : energy",0.1628,0.1255,-0.0843,0.4124,1.001,1.002,1626
"pituitary_tumor : entropy",-0.0881,0.1608,-0.3997,0.2362,1.0013,1.0035,1579
"pituitary_tumor : contrast",-1.927,0.2327,-2.3941,-1.4803,1.0024,1.0067,1558
"pituitary_tumor : correlation",-1.9638,0.1389,-2.2382,-1.6924,1.0014,1.0045,1545
"pituitary_tumor : glcm_energy",1.2257,0.1968,0.8417,1.6082,1.0018,1.0057,1462
"pituitary_tumor : homogeneity",1.0673,0.2442,0.5853,1.5511,1.0007,1.0018,1644
"pituitary_tumor : aspect_ratio",-0.3908,0.0995,-0.588,-0.1969,1.0014,1.0036,1557
"pituitary_tumor : perimeter",1.7134,0.1293,1.4634,1.9696,1.0006,1.0013,1648
