"image_id","status","n_brain_px","mean_brain","sd_brain","error_msg"
"image_00001","OK",6120,0.264398788927336,0.113401060989629,NA
"image_00002","OK",5880,0.302959016940109,0.126994655799078,NA
"image_00003","OK",7058,0.365640158018435,0.120335578955415,NA
"image_00004","OK",7895,0.331588744427473,0.118292802639364,NA
"image_00005","OK",8382,0.30671396690387,0.113578370382807,NA
"image_00006","OK",7294,0.294022484233617,0.100555727653103,NA
"image_00007","OK",7937,0.357529144957718,0.121810356811228,NA
"image_00008","OK",8443,0.341652209859426,0.129476034750391,NA
"image_00009","OK",8743,0.341703502858309,0.128126401730775,NA
"image_00010","OK",9275,0.267360287511231,0.104665137726264,NA
"image_00011","OK",8965,0.350983235458154,0.0924081187593381,NA
"image_00012","OK",10019,0.323521192087974,0.0874823259391762,NA
"image_00013","OK",6140,0.328998850354474,0.114307074372715,NA
"image_00014","OK",10585,0.325888558541036,0.0940004667826465,NA
"image_00015","OK",11836,0.357544281653182,0.0952192139790531,NA
"image_00016","OK",11884,0.305574969806165,0.0884552206320918,NA
"image_00017","OK",11839,0.305701412248319,0.0930613465697704,NA
"image_00018","OK",11696,0.268162234113892,0.0713725718237428,NA
"image_00019","OK",11306,0.328201406159492,0.0974936707759217,NA
"image_00020","OK",6960,0.308376014198783,0.111485624521274,NA
"image_00021","OK",6288,0.310933680087811,0.111721004192454,NA
"image_00022","OK",6796,0.311177855485926,0.128370592536288,NA
"image_00023","OK",6307,0.314179078956777,0.132646852229343,NA
"image_00024","OK",6292,0.322075339989779,0.114327489177024,NA
"image_00025","OK",6848,0.38394765324354,0.130323061293065,NA
"image_00026","OK",6952,0.344730815225975,0.12953680685342,NA
"image_00027","OK",7546,0.279610025828513,0.111030524900273,NA
"image_00028","OK",7713,0.314488907192593,0.124336247296347,NA
"image_00029","OK",7742,0.310473176612417,0.12197418126414,NA
"image_00030","OK",7889,0.281933767295738,0.118899154588274,NA
"image_00031","OK",8184,0.377126339294271,0.12953549242974,NA
"image_00032","OK",8013,0.322515862703499,0.121389521127123,NA
"image_00033","OK",6610,0.359618225505028,0.118774259070932,NA
"image_00034","OK",7104,0.32387166578343,0.111605954028711,NA
"image_00035","OK",6391,0.312220003006679,0.107644999186685,NA
"image_00036","OK",7382,0.307183344754862,0.103452317567577,NA
"image_00037","OK",7235,0.263827662371099,0.0900168249054302,NA
"image_00038","OK",7358,0.341037899258643,0.117328903457172,NA
"image_00039","OK",7551,0.353221103035308,0.121172033017404,NA
"image_00040","OK",7419,0.366070159024656,0.120821658852224,NA
"image_00041","OK",7454,0.329602739942234,0.111713392887197,NA
"image_00042","OK",7100,0.345438552885943,0.121659610702234,NA
"image_00043","OK",7140,0.344280359202505,0.111258062725615,NA
"image_00044","OK",7394,0.342202607307462,0.110384565172651,NA
"image_00045","OK",6669,0.327678106780274,0.113011547657829,NA
"image_00046","OK",5536,0.310690631021195,0.118679770245387,NA
"image_00047","OK",7099,0.330633284444923,0.111832209478544,NA
"image_00048","OK",5778,0.315824561046295,0.126689832821731,NA
"image_00049","OK",7610,0.307370075494061,0.110456015382357,NA
"image_00050","OK",8772,0.251301042532836,0.100041988844278,NA
"image_00051","OK",8924,0.269589496488869,0.104416648049444,NA
"image_00052","OK",8715,0.25586896606032,0.0994358632520211,NA
"image_00053","OK",8660,0.320749671693158,0.0982998598136834,NA
"image_00054","OK",9274,0.306108581021367,0.104709191007207,NA
"image_00055","OK",9807,0.28771055888451,0.101965867521874,NA
"image_00056","OK",9287,0.20660347481299,0.0808322674882702,NA
"image_00057","OK",5493,0.304457901857266,0.121379955058684,NA
"image_00058","OK",9494,0.265166338285894,0.103956215000667,NA
"image_00059","OK",9864,0.262335806179731,0.101198562606435,NA
"image_00060","OK",9992,0.256221742099562,0.0991396541374139,NA
"image_00061","OK",9580,0.241069323345204,0.0957398871171925,NA
"image_00062","OK",9317,0.274662907988139,0.106567999963895,NA
"image_00063","OK",5773,0.376750457674842,0.126177928169384,NA
"image_00064","OK",6086,0.399562802445987,0.140791282230215,NA
"image_00065","OK",6827,0.382580411687159,0.140693340529387,NA
"image_00066","OK",8670,0.36126591582423,0.131586655022923,NA
"image_00067","OK",9574,0.263082920655206,0.0995304612899332,NA
"image_00068","OK",5791,0.31429567855462,0.119599995077564,NA
"image_00069","OK",9482,0.299099325450492,0.115609968285284,NA
"image_00070","OK",8970,0.240911316589066,0.0924794549125885,NA
"image_00071","OK",6710,0.342608047690015,0.121994668485849,NA
"image_00072","OK",8756,0.298758946246383,0.112314740641966,NA
"image_00073","OK",7434,0.29050467644685,0.115649411987537,NA
"image_00074","OK",7842,0.338411944731986,0.127983413840951,NA
"image_00075","OK",6160,0.280259581105169,0.106606268834638,NA
"image_00076","OK",8069,0.286798908434362,0.112345390460288,NA
"image_00077","OK",7465,0.300753976071339,0.12071793123242,NA
"image_00078","OK",7201,0.353353700874878,0.134494698347006,NA
"image_00079","OK",5578,0.302979492263022,0.114062458243647,NA
"image_00080","OK",7116,0.257068026761013,0.103276305456364,NA
"image_00081","OK",6630,0.332770532043888,0.136681892736872,NA
"image_00082","OK",6928,0.342184174478105,0.138422356478339,NA
"image_00083","OK",6592,0.333348354511708,0.136228704291892,NA
"image_00084","OK",6638,0.358363905972151,0.145931316287061,NA
"image_00085","OK",6230,0.355255405533,0.145039866200133,NA
"image_00086","OK",7333,0.298354203265924,0.114244688834078,NA
"image_00087","OK",7196,0.309438931214509,0.118428554159683,NA
"image_00088","OK",6990,0.333337120255828,0.129873287041742,NA
"image_00089","OK",6893,0.373805053720313,0.14246677534209,NA
"image_00090","OK",5269,0.306824415095323,0.113506331666813,NA
"image_00091","OK",7882,0.373428039066426,0.129974280338593,NA
"image_00092","OK",8187,0.358775868964906,0.136562090333341,NA
"image_00093","OK",8745,0.317969820289465,0.120154114060914,NA
"image_00094","OK",7525,0.33171715197707,0.123819389048812,NA
"image_00095","OK",6710,0.342608047690015,0.121994668485849,NA
"image_00096","OK",5448,0.339365048515735,0.123982773791297,NA
"image_00097","OK",7947,0.326257781330728,0.119293770141222,NA
"image_00098","OK",8337,0.306588160033115,0.113276848452003,NA
"image_00099","OK",8754,0.314479767232458,0.116914231066093,NA
"image_00100","OK",8440,0.314672892853824,0.119950593018084,NA
"image_00101","OK",5266,0.330624501984615,0.117669746425113,NA
"image_00102","OK",8452,0.307355493072761,0.122263174115496,NA
"image_00103","OK",8402,0.292849391601439,0.118192121117276,NA
"image_00104","OK",8428,0.26687209767628,0.111546151682079,NA
"image_00105","OK",8320,0.266266143476621,0.108936302777905,NA
"image_00106","OK",7171,0.296076107196469,0.110704520483966,NA
"image_00107","OK",6315,0.312697126356481,0.116522087226229,NA
"image_00108","OK",5426,0.298133171440342,0.103100428148486,NA
"image_00109","OK",7892,0.281739140156823,0.111855070285775,NA
"image_00110","OK",4981,0.365388476209596,0.128694743073043,NA
"image_00111","OK",5255,0.304312419544411,0.119925680894593,NA
"image_00112","OK",8184,0.377126339294271,0.12953549242974,NA
"image_00113","OK",5131,0.283073283883813,0.100411039470344,NA
"image_00114","OK",5729,0.36562860438293,0.135517289103901,NA
"image_00115","OK",6132,0.341184304772137,0.134694091896218,NA
"image_00116","OK",6743,0.358988697065657,0.133988528822694,NA
"image_00117","OK",6958,0.289507634039531,0.110645382577439,NA
"image_00118","OK",7531,0.38479005730562,0.125696735651068,NA
"image_00119","OK",8613,0.380307469556962,0.121534594431057,NA
"image_00120","OK",7227,0.367115826543707,0.131187046700581,NA
"image_00121","OK",7394,0.330557367658992,0.127551874684998,NA
"image_00122","OK",7740,0.313363859755789,0.124944407091519,NA
"image_00123","OK",7923,0.273744966874797,0.111102020216569,NA
"image_00124","OK",5157,0.34144680559833,0.117101420030106,NA
"image_00125","OK",8070,0.279306800787229,0.115326482424995,NA
"image_00126","OK",7702,0.295690704222484,0.121848370668061,NA
"image_00127","OK",7635,0.24586514632048,0.0886136074838326,NA
"image_00128","OK",7897,0.236674016193789,0.0856481048195455,NA
"image_00129","OK",7969,0.273373169069359,0.101635146675573,NA
"image_00130","OK",8157,0.304122046023264,0.110735802460684,NA
"image_00131","OK",7894,0.298017481631619,0.10789463674516,NA
"image_00132","OK",7397,0.350566737442577,0.124748723404785,NA
"image_00133","OK",6817,0.39120739098045,0.13795626899907,NA
"image_00134","OK",6473,0.380059705019038,0.127377259926002,NA
"image_00135","OK",6031,0.384009090288412,0.130462128018156,NA
"image_00136","OK",9494,0.322754102694374,0.114118304185372,NA
"image_00137","OK",9289,0.293862865417456,0.1083993134285,NA
"image_00138","OK",9398,0.302370654582327,0.107420503659975,NA
"image_00139","OK",7818,0.303911285670574,0.108800863766934,NA
"image_00140","OK",7038,0.385414472694449,0.122143828516853,NA
"image_00141","OK",8363,0.312311465301175,0.0962311174726669,NA
"image_00142","OK",9124,0.368174863106137,0.116250786742847,NA
"image_00143","OK",9532,0.347351645232159,0.110903693817732,NA
"image_00144","OK",9551,0.371139558325686,0.124063742944971,NA
"image_00145","OK",9805,0.330743118256992,0.107098698077675,NA
"image_00146","OK",5665,0.358772130211308,0.123503325327043,NA
"image_00147","OK",8392,0.279960022617245,0.0942762377229502,NA
"image_00148","OK",8387,0.305522669303801,0.103254611239542,NA
